project	sample	nasvs	nreads	latitude	longitude	environment	subcategory	subcategory_old
Neotropical_lowland_forests	B031_B032	138	639183	9.153381477	-79.83983517	Soil	Tropical soil	soil_tropical
Neotropical_lowland_forests	B081_B082	558	673091	9.144239266	-79.85565311	Soil	Tropical soil	soil_tropical
Neotropical_lowland_forests	B100	673	586010	9.142874188	-79.84580686	Soil	Tropical soil	soil_tropical
Tara_Oceans	BZM_AAEBOSTA_1_1_HYN2WBCX2.12BA013	2212	448106	19.0351	64.5638	Marine	Mesopelagic zone	marine_mesopelagic
Tara_Oceans	BZM_AAEDOSTA_1_1_HYN2WBCX2.12BA037	8069	386448	36.5103	-3.9747	Marine	Epipelagic zone	marine_epipelagic
Tara_Oceans	BZM_AAEJOSTA_1_1_HYN2WBCX2.12BA014	2120	488689	18.7341	66.3896	Marine	Mesopelagic zone	marine_mesopelagic
Tara_Oceans	BZM_AAEQOSTA_1_1_HYN2WBCX2.12BA003	5146	479517	-31.0198	4.6685	Marine	Mesopelagic zone	marine_mesopelagic
Tara_Oceans	BZM_AAESOSTA_1_1_HYN2WBCX2.12BA027	5775	475621	2.0649	-84.5546	Marine	Mesopelagic zone	marine_mesopelagic
Tara_Oceans	BZM_AAEWOSTA_1_1_HYN2WBCX2.12BA075	5412	507384	-30.1471	-43.2915	Marine	Mesopelagic zone	marine_mesopelagic
Tara_Oceans	BZM_AAFBOSTA_1_1_HYN2WBCX2.12BA040	2852	472253	18.5745	66.4895	Marine	Epipelagic zone	marine_epipelagic
Tara_Oceans	BZM_AAFHOSTA_1_1_HYN2WBCX2.12BA017	5029	484851	0.0063	-84.585	Marine	Mesopelagic zone	marine_mesopelagic
Tara_Oceans	BZM_AAFLOSTA_1_1_HYN2WBCX2.12BA065	4304	446103	-23.1594	-134.9245	Marine	Epipelagic zone	marine_epipelagic
Tara_Oceans	BZM_AAFOOSTA_1_1_HYN2WBCX2.12BA006	5269	457567	22.7546	-158.0067	Marine	Mesopelagic zone	marine_mesopelagic
Tara_Oceans	BZM_AAFROSTA_1_1_HYN2WBCX2.12BA042	6945	420082	36.5103	-3.9747	Marine	Epipelagic zone	marine_epipelagic
Tara_Oceans	BZM_AAFSOSTA_1_1_HYN2WBCX2.12BA054	6349	446101	-28.1762	-107.4021	Marine	Mesopelagic zone	marine_mesopelagic
Tara_Oceans	BZM_AAFTOSTA_1_1_HYN2WBCX2.12BA066	5589	539373	-23.2232	-129.5986	Marine	Mesopelagic zone	marine_mesopelagic
Tara_Oceans	BZM_AAGBOSTA_1_1_HYN2WBCX2.12BA067	6823	476767	-22.3368	40.3412	Marine	Epipelagic zone	marine_epipelagic
Tara_Oceans	BZM_AAGDOSTA_1_1_HYN2WBCX2.12BA091	5471	558892	-17.0248	42.7401	Marine	Epipelagic zone	marine_epipelagic
Tara_Oceans	BZM_AAGNOSTA_1_1_HYN2WBCX2.12BA021	5217	427459	31.528	-159.0224	Marine	Mesopelagic zone	marine_mesopelagic
Tara_Oceans	BZM_AAGOOSTA_1_1_HYN2WBCX2.12BA033	4201	498681	35.2698	-127.7268	Marine	Mesopelagic zone	marine_mesopelagic
Tara_Oceans	BZM_AAGTOSTA_1_1_HYN2WBCX2.12BA093	3725	518271	6.3559	-103.0598	Marine	Mesopelagic zone	marine_mesopelagic
Tara_Oceans	BZM_AAGUOSTA_1_1_HYN2WBCX2.12BA010	5534	517123	25.6168	-88.4532	Marine	Epipelagic zone	marine_epipelagic
Tara_Oceans	BZM_AAGVOSTA_1_1_HYN2WBCX2.12BA022	4884	422304	25.6236	-88.45	Marine	Mesopelagic zone	marine_mesopelagic
Tara_Oceans	BZM_AAGWOSTA_1_1_HYN2WBCX2.12BA034	3402	416780	29.8556	-79.6493	Marine	Mesopelagic zone	marine_mesopelagic
Tara_Oceans	BZM_AAGZOSTA_1_1_HYN2WBCX2.12BA070	4999	391455	34.6663	-71.2907	Marine	Mesopelagic zone	marine_mesopelagic
