Sample,Pquery,Multiplicity,"LWR 1","LWR 2","LWR 3","LWR 4","LWR 5"
epa_result,788590dcb6e166d97a9342e7e6f47161e261edfb;size=796,1,0.336527,0.332289,0.329102,0,0
epa_result,2f74f204bd766fadfbf34c0912f9d9f73e3046f5;size=10,1,0.375941,0.14656,0.134486,0.134129,0.11051
epa_result,045554762b33cd7713501c1daa62ac67ee739f7d;size=24,1,0.343423,0.333326,0.323243,0,0
epa_result,6ab850952c675e39ad0f7d47dcba48e07611c4ec;size=1358,1,0.885322,0.114678,0,0,0
epa_result,677ee71259eb238b4d1ba63b07b9cf9a46f8db49;size=239,1,0.99983,0,0,0,0
epa_result,e91e66df61eb47b6283f8e0def815a05d127157e;size=20768,1,0.94531,0.05469,0,0,0
epa_result,970a252a2387d1b9ed206793509be04d29c048d1;size=20,1,0.846477,0.0711215,0.0709795,0,0
epa_result,4e4c682271463f322ba28d4b4a86c4243b76b7c3;size=396,1,0.999908,0,0,0,0
epa_result,e353d373bf2b7eeae70bdf391afa46ec77a299a6;size=42,1,0.643826,0.178215,0.177948,0,0
epa_result,1e26b111bad6239424cb5609fa19748176e88c61;size=50,1,1,0,0,0,0
epa_result,68dd5685bf0af0f149ab14f7cb7146cf2bfd4b25;size=543,1,0.729718,0.13412,0.13386,0,0
epa_result,267a149b85b77feac80c7e69a16d39bc578edd24;size=3124,1,1,0,0,0,0
epa_result,642d6d45bc1d6b1a0e5cf9a70b83caeb0b778b3c;size=18,1,0.5016,0.498352,0,0,0
epa_result,4ec52250f0b8e4bdcaeb69a6e76483cbedfbe146;size=46,1,0.409247,0.408875,0.166133,0.0118203,0
epa_result,cf0dd0632f16e9ebc7b3a5547790b2f3854d1f92;size=555,1,0.29172,0.285553,0.281654,0.110933,0.0148481
epa_result,9c4fb71b4f204fc59c9c551f8bcec6960f07f49f;size=14,1,0.498868,0.497614,0,0,0
epa_result,1a765388e7b8cf72c2ff43cded55f6223c77666f;size=2218,1,0.239889,0.229364,0.227943,0.1432,0.0510557
epa_result,64cf20e1f68596d3afa3e0c645dce6b865c87db4;size=29,1,0.34254,0.324521,0.323874,0,0
epa_result,4ec5b2a8a8ac0f05ee591133e856222f2207c71a;size=36,1,0.997596,0,0,0,0
